,ia,ianum,lang,sentnum,trialid,prob_skip,firstrun.dur,dur,firstrun.nfix,nfix,prob_refix,prob_reread,trial_sentnum
0,In,1,en,0,1,0.6052631578947368,52.63157894736842,76.78947368421052,0.42105263157894735,0.5263157894736842,0.02631578947368421,0.07894736842105263,1
1,ancient,2,en,0,1,0.02631578947368421,322.39473684210526,615.3684210526316,1.5789473684210527,2.8947368421052633,0.5789473684210527,0.631578947368421,1
2,Roman,3,en,0,1,0.05263157894736842,258.13157894736844,516.6052631578947,1.236842105263158,2.526315789473684,0.23684210526315788,0.6578947368421053,1
3,religion,4,en,0,1,0.0,298.07894736842104,683.6842105263158,1.3421052631578947,3.0526315789473686,0.47368421052631576,0.631578947368421,1
4,and,5,en,0,1,0.47368421052631576,129.8684210526316,172.55263157894737,0.5789473684210527,0.7894736842105263,0.05263157894736842,0.15789473684210525,1
5,"myth,",6,en,0,1,0.02631578947368421,279.13157894736844,496.2631578947368,1.105263157894737,2.1052631578947367,0.18421052631578946,0.5526315789473685,1
6,Janus,7,en,0,1,0.02631578947368421,310.4736842105263,580.6842105263158,1.263157894736842,2.5,0.2894736842105263,0.6578947368421053,1
7,is,8,en,0,1,0.2631578947368421,142.52631578947367,200.55263157894737,0.7368421052631579,1.0263157894736843,0.0,0.21052631578947367,1
8,the,9,en,0,1,0.34210526315789475,147.68421052631578,251.76315789473685,0.7368421052631579,1.263157894736842,0.10526315789473684,0.42105263157894735,1
9,god,10,en,0,1,0.3157894736842105,158.39473684210526,271.13157894736844,0.7368421052631579,1.3157894736842106,0.05263157894736842,0.3684210526315789,1
10,of,11,en,0,1,0.4473684210526316,115.47368421052632,142.97368421052633,0.5789473684210527,0.7368421052631579,0.02631578947368421,0.10526315789473684,1
11,beginnings,12,en,0,1,0.02631578947368421,321.89473684210526,676.3157894736842,1.5789473684210527,3.3157894736842106,0.6052631578947368,0.5,1
12,and,13,en,0,1,0.6578947368421053,87.71052631578948,128.21052631578948,0.42105263157894735,0.6052631578947368,0.10526315789473684,0.10526315789473684,1
13,gates.,14,en,0,1,0.07894736842105263,307.2894736842105,446.1842105263158,1.3157894736842106,2.0526315789473686,0.4473684210526316,0.42105263157894735,1
14,In,1,ge,1,1,0.34285714285714286,97.97142857142858,115.0,0.6571428571428571,0.7428571428571429,0.0,0.05714285714285714,1
15,der,2,ge,1,1,0.02857142857142857,237.88571428571427,379.42857142857144,1.2,1.7714285714285714,0.14285714285714285,0.37142857142857144,1
16,alten,3,ge,1,1,0.11428571428571428,243.82857142857142,507.6857142857143,1.2857142857142858,2.6857142857142855,0.2571428571428571,0.6571428571428571,1
17,römischen,4,ge,1,1,0.0,247.68571428571428,644.5142857142857,1.3714285714285714,3.3714285714285714,0.34285714285714286,0.6571428571428571,1
18,Religion,5,ge,1,1,0.02857142857142857,352.8285714285714,711.1142857142858,1.4857142857142858,3.2857142857142856,0.5428571428571428,0.6,1
19,und,6,ge,1,1,0.45714285714285713,105.68571428571428,120.88571428571429,0.6,0.6857142857142857,0.0,0.05714285714285714,1
20,Mythologie,7,ge,1,1,0.02857142857142857,328.2,677.7428571428571,1.457142857142857,3.085714285714286,0.6285714285714286,0.6,1
21,ist,8,ge,1,1,0.22857142857142856,202.4,325.85714285714283,0.8285714285714286,1.457142857142857,0.05714285714285714,0.37142857142857144,1
