,lang,ia,ianum,sentnum,trialid,prob_skip,firstfix.dur,firstrun.dur,dur,firstrun.nfix,nfix,prob_refix,prob_reread,trial_sentnum
0,ge,In,1,0,1,0.25,169.75,169.75,169.75,0.75,0.75,0.0,0.0,1
1,ge,der,2,0,1,0.125,151.625,305.25,305.25,1.375,1.375,0.25,0.0,1
2,ge,alten,3,0,1,0.0,164.625,244.375,345.625,1.375,2.0,0.125,0.5,1
3,ge,römischen,4,0,1,0.0,181.125,210.5,328.25,1.125,1.75,0.125,0.5,1
4,ge,Religion,5,0,1,0.0,250.625,303.875,346.25,1.25,1.5,0.25,0.25,1
5,ge,und,6,0,1,0.25,104.375,104.375,104.375,0.75,0.75,0.0,0.0,1
6,ge,Mythologie,7,0,1,0.0,194.875,304.125,433.25,1.625,2.125,0.75,0.25,1
7,ge,ist,8,0,1,0.5,126.5,126.5,195.875,0.5,0.875,0.0,0.25,1
8,ge,Janus,9,0,1,0.0,208.5,393.375,544.375,2.0,2.5,0.625,0.375,1
9,ge,der,10,0,1,0.125,177.0,202.375,310.5,1.0,1.5,0.25,0.125,1
10,ge,Gott,11,0,1,0.375,131.5,131.5,131.5,0.625,0.625,0.0,0.0,1
11,ge,des,12,0,1,0.125,166.125,166.125,296.5,0.875,1.375,0.0,0.375,1
12,ge,Anfangs,13,0,1,0.0,224.125,409.125,593.0,1.75,2.875,0.375,0.75,1
13,ge,und,14,0,1,0.25,179.875,179.875,271.625,0.75,1.125,0.0,0.125,1
14,ge,der,15,0,1,0.125,173.625,198.25,340.375,1.0,1.75,0.25,0.375,1
15,ge,Tore.,16,0,1,0.0,271.375,292.75,545.125,1.125,2.5,0.5,0.625,1
16,ge,Er,17,21,1,0.375,125.875,125.875,172.875,0.625,0.875,0.0,0.25,2
17,ge,hat,18,21,1,0.125,194.5,218.125,218.125,1.0,1.0,0.125,0.0,2
18,ge,eine,19,21,1,0.125,153.75,172.125,249.375,1.0,1.25,0.125,0.25,2
19,ge,doppelte,20,21,1,0.0,140.625,208.625,273.375,1.5,1.875,0.5,0.375,2
20,ge,Natur,21,21,1,0.125,224.0,274.375,324.875,1.125,1.375,0.25,0.25,2
21,ge,und,22,21,1,0.5,100.5,100.5,130.0,0.5,0.75,0.0,0.125,2
22,ge,wird,23,21,1,0.0,144.875,144.875,306.0,1.0,1.875,0.125,0.5,2
23,ge,gewöhnlich,24,21,1,0.0,197.75,314.75,524.5,1.5,2.5,0.625,0.5,2
24,ge,mit,25,21,1,0.5,132.75,132.75,162.75,0.5,0.625,0.0,0.125,2
25,ge,zwei,26,21,1,0.25,154.25,172.875,297.75,0.875,1.5,0.125,0.5,2
26,ge,Gesichtern,27,21,1,0.0,183.625,250.125,461.0,1.375,2.625,0.375,0.5,2
27,ge,"dargestellt,",28,21,1,0.0,237.125,349.0,465.0,1.625,2.25,0.625,0.25,2
