,lang,ia,ianum,sentnum,trialid,prob_skip,firstfix.dur,firstrun.dur,dur,firstrun.nfix,nfix,prob_refix,prob_reread,trial_sentnum
0,sp,En,1,4,1,0.34210526315789475,95.84210526315789,98.84210526315789,128.97368421052633,0.6842105263157895,0.8157894736842105,0.02631578947368421,0.07894736842105263,1
1,en,In,1,0,1,0.6052631578947368,45.23684210526316,52.63157894736842,76.78947368421052,0.42105263157894735,0.5263157894736842,0.02631578947368421,0.07894736842105263,1
2,ge,In,1,1,1,0.34285714285714286,97.97142857142858,97.97142857142858,115.0,0.6571428571428571,0.7428571428571429,0.0,0.05714285714285714,1
3,it,Negli,1,2,1,0.11627906976744186,127.51162790697674,138.46511627906978,301.86046511627904,0.9767441860465116,1.7906976744186047,0.13953488372093023,0.5116279069767442,1
4,ru,Янус,1,3,1,0.029411764705882353,167.41176470588235,281.8235294117647,479.4117647058824,1.3529411764705883,1.9705882352941178,0.29411764705882354,0.3235294117647059,1
5,en,ancient,2,0,1,0.02631578947368421,204.26315789473685,322.39473684210526,615.3684210526316,1.5789473684210527,2.8947368421052633,0.5789473684210527,0.631578947368421,1
6,it,antichi,2,2,1,0.0,180.02325581395348,279.93023255813955,572.0232558139535,1.627906976744186,3.2325581395348837,0.5116279069767442,0.6744186046511628,1
7,ge,der,2,1,1,0.02857142857142857,180.77142857142857,237.88571428571427,379.42857142857144,1.2,1.7714285714285714,0.14285714285714285,0.37142857142857144,1
8,sp,las,2,4,1,0.10526315789473684,183.6315789473684,204.89473684210526,359.0263157894737,1.0,1.9473684210526316,0.23684210526315788,0.34210526315789475,1
9,ru,—,2,3,1,0.38235294117647056,133.91176470588235,138.14705882352942,189.23529411764707,0.6470588235294118,0.8823529411764706,0.029411764705882353,0.17647058823529413,1
10,en,Roman,3,0,1,0.05263157894736842,196.1315789473684,258.13157894736844,516.6052631578947,1.236842105263158,2.526315789473684,0.23684210526315788,0.6578947368421053,1
11,ge,alten,3,1,1,0.11428571428571428,157.68571428571428,243.82857142857142,507.6857142857143,1.2857142857142858,2.6857142857142855,0.2571428571428571,0.6571428571428571,1
12,sp,antiguas,3,4,1,0.02631578947368421,173.89473684210526,217.3684210526316,1115.3157894736842,1.236842105263158,5.5,0.5263157894736842,0.868421052631579,1
13,it,miti,3,2,1,0.046511627906976744,196.04651162790697,230.11627906976744,499.5348837209302,1.1395348837209303,2.4651162790697674,0.18604651162790697,0.5813953488372093,1
14,ru,бог,3,3,1,0.17647058823529413,153.11764705882354,163.7941176470588,313.97058823529414,0.9117647058823529,1.5,0.08823529411764706,0.3235294117647059,1
15,it,e,4,2,1,0.5813953488372093,73.95348837209302,76.93023255813954,116.37209302325581,0.4418604651162791,0.6744186046511628,0.023255813953488372,0.13953488372093023,1
16,sp,mitología,4,4,1,0.02631578947368421,200.23684210526315,312.3157894736842,1074.921052631579,1.5263157894736843,5.052631578947368,0.6842105263157895,0.868421052631579,1
17,en,religion,4,0,1,0.0,225.97368421052633,298.07894736842104,683.6842105263158,1.3421052631578947,3.0526315789473686,0.47368421052631576,0.631578947368421,1
18,ge,römischen,4,1,1,0.0,179.05714285714285,247.68571428571428,644.5142857142857,1.3714285714285714,3.3714285714285714,0.34285714285714286,0.6571428571428571,1
19,ru,всех,4,3,1,0.08823529411764706,177.2941176470588,220.2058823529412,445.79411764705884,1.1176470588235294,2.1176470588235294,0.23529411764705882,0.47058823529411764,1
20,ge,Religion,5,1,1,0.02857142857142857,245.57142857142858,352.8285714285714,711.1142857142858,1.4857142857142858,3.2857142857142856,0.5428571428571428,0.6,1
21,en,and,5,0,1,0.47368421052631576,122.10526315789474,129.8684210526316,172.55263157894737,0.5789473684210527,0.7894736842105263,0.05263157894736842,0.15789473684210525,1
22,it,religioni,5,2,1,0.0,221.7906976744186,326.1162790697674,887.3488372093024,1.4651162790697674,4.069767441860465,0.627906976744186,0.8604651162790697,1
23,sp,y,5,4,1,0.5789473684210527,84.26315789473684,84.26315789473684,98.47368421052632,0.42105263157894735,0.5263157894736842,0.0,0.05263157894736842,1
24,ru,начинаний,5,3,1,0.0,237.23529411764707,284.8235294117647,733.0588235294117,1.2058823529411764,3.2941176470588234,0.4411764705882353,0.7647058823529411,1
25,it,"Romane,",6,2,1,0.06976744186046512,205.48837209302326,249.4418604651163,599.4186046511628,1.1395348837209303,2.6744186046511627,0.27906976744186046,0.627906976744186,1
26,en,"myth,",6,0,1,0.02631578947368421,258.2105263157895,279.13157894736844,496.2631578947368,1.105263157894737,2.1052631578947367,0.18421052631578946,0.5526315789473685,1
27,sp,religión,6,4,1,0.07894736842105263,215.97368421052633,292.7894736842105,793.9736842105264,1.394736842105263,3.6842105263157894,0.631578947368421,0.7894736842105263,1
28,ge,und,6,1,1,0.45714285714285713,98.71428571428571,105.68571428571428,120.88571428571429,0.6,0.6857142857142857,0.0,0.05714285714285714,1
29,ru,и,6,3,1,0.7941176470588235,45.55882352941177,45.55882352941177,51.6764705882353,0.20588235294117646,0.23529411764705882,0.0,0.029411764705882353,1
30,it,Giano,7,2,1,0.023255813953488372,261.8139534883721,342.8837209302326,589.6046511627907,1.2790697674418605,2.488372093023256,0.37209302325581395,0.5348837209302325,1
31,en,Janus,7,0,1,0.02631578947368421,241.47368421052633,310.4736842105263,580.6842105263158,1.263157894736842,2.5,0.2894736842105263,0.6578947368421053,1
32,ge,Mythologie,7,1,1,0.02857142857142857,239.85714285714286,328.2,677.7428571428571,1.457142857142857,3.085714285714286,0.6285714285714286,0.6,1
33,sp,"romana,",7,4,1,0.05263157894736842,223.92105263157896,308.0263157894737,577.2894736842105,1.263157894736842,2.5526315789473686,0.2631578947368421,0.5526315789473685,1
34,ru,переходов,7,3,1,0.0,262.5882352941176,381.29411764705884,726.6764705882352,1.5,2.9411764705882355,0.4117647058823529,0.5882352941176471,1
35,sp,Jano,8,4,1,0.13157894736842105,215.6578947368421,243.78947368421052,333.0263157894737,1.0263157894736843,1.5263157894736843,0.18421052631578946,0.34210526315789475,1
36,en,is,8,0,1,0.2631578947368421,142.52631578947367,142.52631578947367,200.55263157894737,0.7368421052631579,1.0263157894736843,0.0,0.21052631578947367,1
37,ge,ist,8,1,1,0.22857142857142856,190.6,202.4,325.85714285714283,0.8285714285714286,1.457142857142857,0.05714285714285714,0.37142857142857144,1
38,it,è,8,2,1,0.627906976744186,71.86046511627907,71.86046511627907,101.90697674418605,0.37209302325581395,0.5116279069767442,0.023255813953488372,0.06976744186046512,1
39,ru,в,8,3,1,0.7647058823529411,47.3235294117647,47.3235294117647,56.294117647058826,0.23529411764705882,0.29411764705882354,0.0,0.058823529411764705,1
40,ge,Janus,9,1,1,0.0,216.0,335.54285714285714,588.4857142857143,1.4857142857142858,2.6857142857142855,0.37142857142857144,0.6857142857142857,1
41,sp,es,9,4,1,0.2894736842105263,154.02631578947367,162.39473684210526,254.07894736842104,0.7631578947368421,1.1842105263157894,0.07894736842105263,0.2631578947368421,1
42,it,il,9,2,1,0.3488372093023256,138.65116279069767,138.65116279069767,226.06976744186048,0.6511627906976745,1.0465116279069768,0.023255813953488372,0.2558139534883721,1
43,en,the,9,0,1,0.34210526315789475,135.42105263157896,147.68421052631578,251.76315789473685,0.7368421052631579,1.263157894736842,0.10526315789473684,0.42105263157894735,1
44,ru,древнеримской,9,3,1,0.0,234.41176470588235,335.20588235294116,845.4705882352941,1.4705882352941178,3.9411764705882355,0.6764705882352942,0.6764705882352942,1
45,ge,der,10,1,1,0.2,182.4857142857143,201.37142857142857,271.14285714285717,0.8857142857142857,1.2857142857142858,0.14285714285714285,0.2,1
46,it,dio,10,2,1,0.18604651162790697,174.90697674418604,177.3953488372093,256.72093023255815,0.8372093023255814,1.2325581395348837,0.023255813953488372,0.27906976744186046,1
47,sp,el,10,4,1,0.2631578947368421,150.52631578947367,177.52631578947367,267.7631578947368,0.8421052631578947,1.2105263157894737,0.07894736842105263,0.3157894736842105,1
48,en,god,10,0,1,0.3157894736842105,146.26315789473685,158.39473684210526,271.13157894736844,0.7368421052631579,1.3157894736842106,0.05263157894736842,0.3684210526315789,1
49,ru,религии,10,3,1,0.0,220.76470588235293,254.2941176470588,562.3235294117648,1.1764705882352942,2.5,0.2647058823529412,0.5294117647058824,1
50,ge,Gott,11,1,1,0.14285714285714285,192.54285714285714,226.28571428571428,345.65714285714284,1.0,1.6,0.08571428571428572,0.42857142857142855,1
51,it,degli,11,2,1,0.046511627906976744,191.46511627906978,224.86046511627907,507.5348837209302,1.1162790697674418,2.395348837209302,0.18604651162790697,0.627906976744186,1
52,sp,dios,11,4,1,0.3157894736842105,129.42105263157896,150.44736842105263,265.1842105263158,0.8421052631578947,1.4210526315789473,0.18421052631578946,0.34210526315789475,1
53,en,of,11,0,1,0.4473684210526316,109.97368421052632,115.47368421052632,142.97368421052633,0.5789473684210527,0.7368421052631579,0.02631578947368421,0.10526315789473684,1
54,ru,и,11,3,1,0.9117647058823529,21.441176470588236,21.441176470588236,27.529411764705884,0.08823529411764706,0.11764705882352941,0.0,0.029411764705882353,1
55,en,beginnings,12,0,1,0.02631578947368421,223.39473684210526,321.89473684210526,676.3157894736842,1.5789473684210527,3.3157894736842106,0.6052631578947368,0.5,1
