,lang,ia,ianum,sentnum,trialid,prob_skip,firstfix.dur,firstrun.dur,dur,firstrun.nfix,nfix,prob_refix,prob_reread,trial_sentnum
0,sp,En,1,4,1,0.35294117647058826,108.58823529411765,108.58823529411765,161.35294117647058,0.6470588235294118,0.8823529411764706,0.0,0.11764705882352941,1
1,en,In,1,0,1,0.7333333333333333,35.06666666666667,35.06666666666667,35.06666666666667,0.26666666666666666,0.26666666666666666,0.0,0.0,1
2,ge,In,1,1,1,0.375,49.875,49.875,98.25,0.625,0.875,0.0,0.125,1
3,it,Negli,1,2,1,0.1875,110.1875,130.9375,253.25,1.0,1.6875,0.125,0.4375,1
4,ru,Янус,1,3,1,0.07692307692307693,178.53846153846155,280.3076923076923,599.3076923076923,1.3076923076923077,2.076923076923077,0.3076923076923077,0.23076923076923078,1
5,en,ancient,2,0,1,0.0,243.26666666666668,337.6,697.7333333333333,1.5333333333333334,3.1333333333333333,0.5333333333333333,0.7333333333333333,1
6,it,antichi,2,2,1,0.0,178.4375,254.125,549.6875,1.5,3.25,0.4375,0.8125,1
7,ge,der,2,1,1,0.0,235.875,235.875,401.25,1.0,1.625,0.0,0.375,1
8,sp,las,2,4,1,0.11764705882352941,205.41176470588235,226.88235294117646,418.2352941176471,1.0588235294117647,2.176470588235294,0.35294117647058826,0.29411764705882354,1
9,ru,—,2,3,1,0.46153846153846156,136.6153846153846,136.6153846153846,183.92307692307693,0.5384615384615384,0.7692307692307693,0.0,0.15384615384615385,1
10,en,Roman,3,0,1,0.0,203.46666666666667,328.6666666666667,701.7333333333333,1.5333333333333334,3.2666666666666666,0.4666666666666667,0.8,1
11,ge,alten,3,1,1,0.25,177.125,211.25,444.75,0.875,1.875,0.125,0.625,1
12,sp,antiguas,3,4,1,0.0,183.11764705882354,235.58823529411765,921.9411764705883,1.2941176470588236,4.882352941176471,0.47058823529411764,0.8235294117647058,1
13,it,miti,3,2,1,0.125,150.375,178.25,309.0625,1.0,1.625,0.125,0.375,1
14,ru,бог,3,3,1,0.23076923076923078,126.76923076923077,147.23076923076923,326.3076923076923,0.9230769230769231,1.4615384615384615,0.15384615384615385,0.3076923076923077,1
15,it,e,4,2,1,0.5625,77.6875,77.6875,89.5625,0.4375,0.5625,0.0,0.125,1
16,sp,mitología,4,4,1,0.0,218.7058823529412,352.05882352941177,1012.5294117647059,1.588235294117647,4.647058823529412,0.6470588235294118,0.8823529411764706,1
17,en,religion,4,0,1,0.0,206.6,275.2,901.4,1.2666666666666666,3.8,0.4666666666666667,0.8666666666666667,1
18,ge,römischen,4,1,1,0.0,165.625,281.875,736.125,1.625,4.125,0.5,0.625,1
19,ru,всех,4,3,1,0.0,177.53846153846155,223.07692307692307,360.38461538461536,1.2307692307692308,1.8461538461538463,0.15384615384615385,0.3076923076923077,1
20,ge,Religion,5,1,1,0.0,206.875,254.375,685.875,1.25,3.5,0.5,0.75,1
21,en,and,5,0,1,0.5333333333333333,109.46666666666667,119.2,147.8,0.5333333333333333,0.7333333333333333,0.06666666666666667,0.2,1
22,it,religioni,5,2,1,0.0,193.8125,381.5,667.4375,1.75,3.0,0.5625,0.8125,1
23,sp,y,5,4,1,0.4117647058823529,112.76470588235294,112.76470588235294,124.41176470588235,0.5882352941176471,0.6470588235294118,0.0,0.058823529411764705,1
24,ru,начинаний,5,3,1,0.0,231.92307692307693,249.53846153846155,651.9230769230769,1.0769230769230769,2.923076923076923,0.46153846153846156,0.6923076923076923,1
25,it,"Romane,",6,2,1,0.0,198.4375,239.25,421.0625,1.1875,2.0625,0.25,0.5625,1
26,en,"myth,",6,0,1,0.0,279.0,323.8666666666667,657.4666666666667,1.2666666666666666,2.8,0.3333333333333333,0.7333333333333333,1
27,sp,religión,6,4,1,0.11764705882352941,260.70588235294116,359.5882352941176,829.6470588235294,1.411764705882353,3.823529411764706,0.7058823529411765,0.7647058823529411,1
28,ge,und,6,1,1,0.5,120.375,120.375,171.375,0.5,0.75,0.0,0.125,1
29,ru,и,6,3,1,0.8461538461538461,31.0,31.0,31.0,0.15384615384615385,0.15384615384615385,0.0,0.0,1
30,it,Giano,7,2,1,0.0,241.1875,284.125,398.25,1.1875,1.75,0.125,0.5,1
31,en,Janus,7,0,1,0.0,274.46666666666664,390.0,652.2666666666667,1.4666666666666666,2.6666666666666665,0.3333333333333333,0.7333333333333333,1
32,ge,Mythologie,7,1,1,0.0,299.625,317.5,745.875,1.125,3.375,0.375,0.875,1
33,sp,"romana,",7,4,1,0.0,246.0,387.1764705882353,728.8823529411765,1.4705882352941178,2.9411764705882355,0.29411764705882354,0.6470588235294118,1
34,ru,переходов,7,3,1,0.0,269.7692307692308,384.38461538461536,509.9230769230769,1.5384615384615385,2.076923076923077,0.23076923076923078,0.46153846153846156,1
35,sp,Jano,8,4,1,0.0,245.35294117647058,293.8235294117647,398.0,1.2941176470588236,1.8235294117647058,0.23529411764705882,0.35294117647058826,1
36,en,is,8,0,1,0.26666666666666666,155.73333333333332,155.73333333333332,213.4,0.7333333333333333,1.0,0.0,0.2,1
37,ge,ist,8,1,1,0.125,232.875,255.125,372.25,1.0,1.625,0.125,0.25,1
38,it,è,8,2,1,0.75,42.5625,42.5625,42.5625,0.25,0.25,0.0,0.0,1
39,ru,в,8,3,1,0.8461538461538461,22.153846153846153,22.153846153846153,33.92307692307692,0.15384615384615385,0.23076923076923078,0.0,0.07692307692307693,1
40,ge,Janus,9,1,1,0.0,243.875,425.375,711.5,1.625,3.125,0.375,0.875,1
41,sp,es,9,4,1,0.35294117647058826,122.29411764705883,122.29411764705883,177.8235294117647,0.6470588235294118,1.0,0.058823529411764705,0.23529411764705882,1
42,it,il,9,2,1,0.375,132.8125,132.8125,152.6875,0.625,0.75,0.0,0.0625,1
43,en,the,9,0,1,0.4,121.86666666666666,121.86666666666666,204.4,0.6,1.0,0.0,0.4,1
44,ru,древнеримской,9,3,1,0.0,202.53846153846155,287.3076923076923,672.2307692307693,1.5384615384615385,3.769230769230769,0.7692307692307693,0.8461538461538461,1
45,ge,der,10,1,1,0.125,184.125,184.125,196.75,0.875,1.0,0.0,0.125,1
46,it,dio,10,2,1,0.1875,171.5625,178.25,249.1875,0.875,1.25,0.0625,0.3125,1
47,sp,el,10,4,1,0.11764705882352941,192.47058823529412,211.64705882352942,286.4117647058824,0.9411764705882353,1.2941176470588236,0.058823529411764705,0.29411764705882354,1
48,en,god,10,0,1,0.3333333333333333,145.0,159.06666666666666,228.86666666666667,0.7333333333333333,1.0666666666666667,0.06666666666666667,0.26666666666666666,1
49,ru,религии,10,3,1,0.0,199.84615384615384,226.23076923076923,494.0,1.1538461538461537,2.3076923076923075,0.3076923076923077,0.6923076923076923,1
50,ge,Gott,11,1,1,0.0,196.625,220.875,374.625,1.125,1.875,0.125,0.5,1
51,it,degli,11,2,1,0.0,179.4375,202.1875,370.0625,1.125,2.0,0.125,0.5625,1
52,sp,dios,11,4,1,0.29411764705882354,129.76470588235293,145.94117647058823,311.0,0.8235294117647058,1.588235294117647,0.17647058823529413,0.4117647058823529,1
53,en,of,11,0,1,0.26666666666666666,139.53333333333333,139.53333333333333,187.2,0.7333333333333333,1.0,0.0,0.2,1
54,ru,и,11,3,1,0.8461538461538461,44.15384615384615,44.15384615384615,44.15384615384615,0.15384615384615385,0.15384615384615385,0.0,0.0,1
55,en,beginnings,12,0,1,0.0,225.4,303.8666666666667,554.6666666666666,1.4666666666666666,2.6,0.5333333333333333,0.5333333333333333,1
56,sp,de,12,4,1,0.7058823529411765,59.35294117647059,59.35294117647059,59.35294117647059,0.29411764705882354,0.29411764705882354,0.0,0.0,1
57,ge,des,12,1,1,0.25,170.875,170.875,317.0,0.75,1.375,0.0,0.5,1
58,it,inizi,12,2,1,0.0,233.5,263.5625,854.375,1.1875,4.0,0.75,1.0,1
59,ru,мифологии.,12,3,1,0.0,209.46153846153845,237.07692307692307,413.3076923076923,1.2307692307692308,2.1538461538461537,0.3076923076923077,0.5384615384615384,1
60,ge,Anfangs,13,1,1,0.0,266.0,266.0,629.375,1.0,2.5,0.125,0.625,1
61,en,and,13,0,1,0.7333333333333333,49.93333333333333,63.733333333333334,75.46666666666667,0.3333333333333333,0.4,0.06666666666666667,0.06666666666666667,1
