,lang,ia,ianum,sentnum,trialid,prob_skip,firstfix.dur,firstrun.dur,dur,firstrun.nfix,nfix,prob_refix,prob_reread,trial_sentnum
0,ge,In,1,0,1,0.0,137.5,137.5,242.0,1.0,1.5,0.0,0.5,1
1,ge,der,2,0,1,0.0,147.5,212.5,1052.5,1.5,4.5,0.5,1.0,1
2,ge,alten,3,0,1,0.0,215.0,302.0,1318.5,1.5,6.5,1.0,1.0,1
3,ge,römischen,4,0,1,0.0,108.0,108.0,1652.0,1.0,8.5,0.5,1.0,1
4,ge,Religion,5,0,1,0.0,212.0,540.5,1576.5,2.0,7.0,0.5,1.0,1
5,ge,und,6,0,1,0.0,159.0,209.5,271.5,1.5,2.0,0.0,0.5,1
6,ge,Mythologie,7,0,1,0.0,230.5,230.5,1307.5,1.0,6.5,1.0,1.0,1
7,ge,ist,8,0,1,0.0,310.0,310.0,725.0,1.0,3.0,0.0,1.0,1
8,ge,Janus,9,0,1,0.0,222.5,222.5,504.5,1.0,2.5,0.0,1.0,1
9,ge,der,10,0,1,0.0,208.5,368.0,565.0,1.5,2.5,0.5,0.5,1
10,ge,Gott,11,0,1,0.0,205.5,205.5,301.0,1.0,1.5,0.0,0.5,1
11,ge,des,12,0,1,0.0,192.0,388.0,1325.5,1.5,5.5,0.5,1.0,1
12,ge,Anfangs,13,0,1,0.0,205.0,205.0,1376.0,1.0,6.0,0.5,1.0,1
13,ge,und,14,0,1,0.0,195.0,195.0,270.5,1.0,1.5,0.0,0.5,1
14,ge,der,15,0,1,0.0,265.0,361.0,630.5,1.5,3.0,0.0,0.5,1
15,ge,Tore.,16,0,1,0.0,175.5,281.5,810.0,1.5,4.0,0.5,1.0,1
16,ge,Er,17,21,1,0.5,68.0,68.0,167.0,0.5,1.0,0.0,0.5,2
17,ge,hat,18,21,1,0.0,195.5,195.5,195.5,1.0,1.0,0.0,0.0,2
18,ge,eine,19,21,1,0.0,204.5,412.0,599.0,1.5,2.5,0.5,1.0,2
19,ge,doppelte,20,21,1,0.0,219.0,565.5,867.5,2.5,4.5,1.0,1.0,2
20,ge,Natur,21,21,1,0.0,350.0,350.0,595.0,1.0,2.0,0.0,1.0,2
21,ge,und,22,21,1,0.0,115.5,115.5,235.0,1.0,2.0,0.0,1.0,2
22,ge,wird,23,21,1,0.0,159.5,159.5,695.0,1.0,3.0,0.0,1.0,2
23,ge,gewöhnlich,24,21,1,0.0,266.5,266.5,645.0,1.0,2.5,0.0,1.0,2
24,ge,mit,25,21,1,0.0,272.0,272.0,272.0,1.0,1.0,0.0,0.0,2
25,ge,zwei,26,21,1,0.0,191.0,191.0,379.0,1.0,2.0,0.5,0.5,2
26,ge,Gesichtern,27,21,1,0.0,212.0,291.5,710.5,1.5,4.0,1.0,1.0,2
27,ge,"dargestellt,",28,21,1,0.0,208.5,599.0,892.5,2.0,4.0,1.0,1.0,2
28,ge,da,29,21,1,0.5,110.0,110.0,213.0,0.5,1.0,0.0,0.5,2
29,ge,er,30,21,1,0.0,279.0,279.0,463.0,1.0,2.0,0.0,1.0,2
30,ge,in,31,21,1,0.0,234.0,234.0,234.0,1.0,1.0,0.0,0.0,2
31,ge,die,32,21,1,0.0,190.0,190.0,517.5,1.0,3.0,0.5,1.0,2
32,ge,Zukunft,33,21,1,0.0,141.5,141.5,488.5,1.0,3.0,0.0,1.0,2
33,ge,und,34,21,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
34,ge,in,35,21,1,0.0,210.0,210.0,210.0,1.0,1.0,0.0,0.0,2
35,ge,die,36,21,1,0.5,138.5,138.5,138.5,0.5,0.5,0.0,0.0,2
