,lang,ia,ianum,sentnum,trialid,prob_skip,firstfix.dur,firstrun.dur,dur,firstrun.nfix,nfix,prob_refix,prob_reread,trial_sentnum
0,it,Negli,1,0,1,0.0,189.0,189.0,713.5,1.0,3.5,0.5,1.0,1
1,it,antichi,2,0,1,0.0,86.0,112.5,579.5,1.5,4.0,0.5,1.0,1
2,it,miti,3,0,1,0.0,290.5,290.5,460.0,1.0,1.5,0.0,0.5,1
3,it,e,4,0,1,0.5,128.5,192.5,192.5,1.0,1.0,0.5,0.0,1
4,it,religioni,5,0,1,0.0,237.0,312.5,689.5,1.5,3.5,1.0,1.0,1
5,it,"Romane,",6,0,1,0.5,79.5,339.0,339.0,1.5,1.5,0.5,0.0,1
6,it,Giano,7,0,1,0.0,237.0,663.0,1155.5,2.5,6.0,1.0,1.0,1
7,it,è,8,0,1,0.5,82.0,82.0,331.5,0.5,2.0,0.5,0.5,1
8,it,il,9,0,1,0.0,106.0,106.0,380.5,1.0,2.0,0.0,1.0,1
9,it,dio,10,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
10,it,degli,11,0,1,0.0,160.0,160.0,900.5,1.0,4.0,0.5,1.0,1
11,it,inizi,12,0,1,0.0,357.5,442.0,1438.5,1.5,5.0,0.5,1.0,1
12,it,e,13,0,1,0.0,157.5,157.5,498.0,1.0,2.0,0.0,0.5,1
13,it,dei,14,0,1,0.0,211.0,211.0,1188.5,1.0,6.0,1.0,1.0,1
14,it,cancelli.,15,0,1,0.0,242.0,288.5,846.0,1.5,4.0,1.0,1.0,1
15,it,Egli,16,13,1,0.5,130.0,130.0,130.0,0.5,0.5,0.0,0.0,2
16,it,ha,17,13,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
17,it,una,18,13,1,0.5,85.5,85.5,152.5,0.5,1.0,0.0,0.5,2
18,it,doppia,19,13,1,0.0,350.5,350.5,476.5,1.0,1.5,0.0,0.5,2
19,it,natura,20,13,1,0.0,219.5,219.5,219.5,1.0,1.0,0.0,0.0,2
20,it,ed,21,13,1,0.5,85.0,194.0,272.0,1.0,1.5,0.5,0.5,2
21,it,è,22,13,1,0.5,107.5,107.5,107.5,0.5,0.5,0.0,0.0,2
22,it,solitamente,23,13,1,0.0,163.5,414.0,758.0,2.5,4.0,0.5,1.0,2
23,it,rappresentato,24,13,1,0.0,158.0,226.5,709.0,1.5,4.0,0.5,1.0,2
24,it,come,25,13,1,0.0,384.0,452.5,452.5,1.5,1.5,0.5,0.0,2
25,it,avente,26,13,1,0.0,246.5,246.5,268.5,1.0,1.5,0.0,0.5,2
26,it,due,27,13,1,0.0,236.0,236.0,236.0,1.0,1.0,0.0,0.0,2
27,it,"facce,",28,13,1,0.5,90.0,90.0,90.0,0.5,0.5,0.0,0.0,2
28,it,poiché,29,13,1,0.5,147.0,147.0,147.0,0.5,0.5,0.0,0.0,2
29,it,vede,30,13,1,0.0,222.5,222.5,222.5,1.0,1.0,0.0,0.0,2
30,it,nel,31,13,1,0.5,129.0,129.0,129.0,0.5,0.5,0.0,0.0,2
31,it,passato,32,13,1,0.5,82.5,82.5,82.5,0.5,0.5,0.0,0.0,2
32,it,e,33,13,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
33,it,nel,34,13,1,0.5,74.0,172.0,172.0,1.5,1.5,0.5,0.0,2
34,it,futuro.,35,13,1,0.5,65.0,65.0,150.0,0.5,1.0,0.0,0.5,2
35,it,Giano,36,25,1,0.5,104.0,104.0,149.0,0.5,1.0,0.0,0.5,3
36,it,presiede,37,25,1,0.0,417.5,487.0,700.5,1.5,3.0,0.5,0.5,3
37,it,sull’inizio,38,25,1,0.0,202.0,290.0,530.5,2.0,3.5,1.0,0.5,3
38,it,e,39,25,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
39,it,sulla,40,25,1,0.0,314.5,314.5,314.5,1.0,1.0,0.0,0.0,3
40,it,fine,41,25,1,0.5,64.5,64.5,317.0,0.5,1.5,0.0,0.5,3
41,it,dei,42,25,1,0.5,68.0,68.0,181.0,0.5,1.0,0.0,0.5,3
42,it,"conflitti,",43,25,1,0.0,225.0,281.5,1413.5,1.5,5.5,1.0,0.5,3
43,it,e,44,25,1,0.5,109.0,109.0,202.0,0.5,1.0,0.0,0.5,3
44,it,quindi,45,25,1,0.0,259.5,515.5,1189.5,2.0,4.5,1.0,0.5,3
45,it,su,46,25,1,0.0,314.5,553.0,1160.5,2.0,4.0,1.0,0.5,3
46,it,guerra,47,25,1,0.5,125.5,209.5,288.5,1.0,1.5,0.5,0.5,3
47,it,e,48,25,1,0.0,347.0,347.0,347.0,1.0,1.0,0.0,0.0,3
48,it,pace.,49,25,1,0.0,261.5,261.5,390.0,1.0,1.5,0.0,0.5,3
49,it,Le,50,37,1,0.5,124.5,124.5,477.5,0.5,1.5,0.0,0.5,4
50,it,porte,51,37,1,0.0,183.0,183.0,183.0,1.0,1.0,0.0,0.0,4
51,it,del,52,37,1,0.0,318.5,318.5,420.5,1.0,1.5,0.0,0.5,4
52,it,suo,53,37,1,0.5,35.5,35.5,35.5,0.5,0.5,0.0,0.0,4
53,it,tempio,54,37,1,0.0,233.5,459.5,670.5,1.5,2.5,0.5,0.5,4
54,it,erano,55,37,1,0.0,250.5,250.5,250.5,1.0,1.0,0.0,0.0,4
55,it,aperte,56,37,1,0.0,166.0,166.0,415.5,1.0,2.0,0.0,0.5,4
56,it,in,57,37,1,0.0,257.0,257.0,257.0,1.0,1.0,0.0,0.0,4
57,it,tempo,58,37,1,0.0,284.5,372.0,372.0,2.0,2.0,0.5,0.0,4
58,it,di,59,37,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
59,it,guerra,60,37,1,0.5,80.5,122.5,122.5,1.0,1.0,0.5,0.0,4
60,it,e,61,37,1,0.5,51.0,51.0,51.0,0.5,0.5,0.0,0.0,4
61,it,chiuse,62,37,1,0.0,214.0,298.5,328.0,1.5,2.0,0.5,0.5,4
62,it,in,63,37,1,0.5,105.0,105.0,105.0,0.5,0.5,0.0,0.0,4
63,it,tempo,64,37,1,0.5,78.0,78.0,78.0,0.5,0.5,0.0,0.0,4
64,it,di,65,37,1,0.5,60.0,60.0,131.5,0.5,1.0,0.0,0.5,4
65,it,pace.,66,37,1,0.0,263.5,263.5,263.5,1.0,1.0,0.0,0.0,4
66,it,Come,67,49,1,0.5,114.0,114.0,114.0,0.5,0.5,0.0,0.0,5
67,it,dio,68,49,1,0.5,83.5,83.5,242.0,0.5,1.0,0.0,0.5,5
68,it,dei,69,49,1,0.5,139.0,139.0,139.0,0.5,0.5,0.0,0.0,5
69,it,"cancelli,",70,49,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
70,it,era,71,49,1,0.5,118.5,118.5,118.5,0.5,0.5,0.0,0.0,5
71,it,anche,72,49,1,0.0,388.5,388.5,552.0,1.0,2.0,0.0,1.0,5
72,it,associato,73,49,1,0.0,290.0,444.5,730.5,2.0,4.0,1.0,1.0,5
73,it,all’entrare,74,49,1,0.0,229.0,284.0,646.0,1.5,3.5,0.5,1.0,5
74,it,ed,75,49,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
75,it,uscire,76,49,1,0.5,124.0,124.0,124.0,0.5,0.5,0.0,0.0,5
76,it,attraverso,77,49,1,0.0,299.0,299.0,583.0,1.0,1.5,0.0,0.5,5
77,it,le,78,49,1,0.5,101.0,101.0,163.5,0.5,1.0,0.0,0.5,5
78,it,porte,79,49,1,0.0,309.0,309.0,526.5,1.0,2.0,0.0,1.0,5
79,it,di,80,49,1,0.0,162.0,162.0,237.0,1.0,1.5,0.0,0.5,5
80,it,casa.,81,49,1,0.5,80.5,196.0,196.0,1.0,1.0,0.5,0.0,5
81,it,Giano,82,61,1,0.0,301.0,378.0,378.0,1.5,1.5,0.5,0.0,6
82,it,simboleggiava,83,61,1,0.0,137.5,137.5,1550.0,1.0,7.0,1.0,1.0,6
83,it,di,84,61,1,0.5,95.0,95.0,95.0,0.5,0.5,0.0,0.0,6
84,it,frequente,85,61,1,0.0,324.5,324.5,324.5,1.0,1.0,0.0,0.0,6
85,it,il,86,61,1,0.0,296.5,296.5,296.5,1.0,1.0,0.0,0.0,6
86,it,cambiamento,87,61,1,0.5,74.0,200.5,281.5,1.0,1.5,0.5,0.5,6
87,it,e,88,61,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6
88,it,le,89,61,1,0.5,19.0,19.0,113.5,0.5,1.0,0.0,0.5,6
89,it,"transizioni,",90,61,1,0.0,221.0,298.0,298.0,1.5,1.5,0.5,0.0,6
90,it,come,91,61,1,0.0,294.5,363.5,454.0,1.5,2.0,0.5,0.5,6
91,it,il,92,61,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6
92,it,progredire,93,61,1,0.0,248.5,340.0,589.0,1.5,2.5,0.5,0.5,6
93,it,da,94,61,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6
94,it,una,95,61,1,0.5,94.5,94.5,191.5,0.5,1.0,0.0,0.5,6
95,it,condizione,96,61,1,0.0,284.0,284.0,284.0,1.0,1.0,0.0,0.0,6
96,it,all’,97,61,1,0.5,70.5,70.5,70.5,0.5,0.5,0.0,0.0,6
97,it,"altra,",98,61,1,0.0,200.5,505.0,505.0,1.5,1.5,0.5,0.0,6
98,it,da,99,61,1,0.0,131.0,131.0,274.0,1.0,1.5,0.0,0.5,6
99,it,una,100,61,1,0.0,263.5,263.5,263.5,1.0,1.0,0.0,0.0,6
100,it,visione,101,61,1,0.5,67.5,283.5,283.5,1.0,1.0,0.0,0.0,6
101,it,"all’altra,",102,61,1,0.0,239.0,239.0,704.0,1.0,2.5,0.5,0.5,6
102,it,e,103,61,1,0.0,224.5,224.5,559.5,1.0,2.5,0.0,1.0,6
103,it,la,104,61,1,0.5,85.0,85.0,221.0,0.5,1.0,0.0,0.5,6
104,it,crescita,105,61,1,0.0,178.5,178.5,1449.5,1.0,6.0,0.5,1.0,6
105,it,dalla,106,61,1,0.0,281.5,281.5,1227.0,1.0,4.5,0.0,1.0,6
106,it,giovinezza,107,61,1,0.0,257.0,490.5,1031.0,1.5,6.0,0.5,1.0,6
107,it,fino,108,61,1,0.5,149.5,149.5,227.5,0.5,1.0,0.0,0.5,6
108,it,all’età,109,61,1,0.0,192.0,192.0,344.5,1.0,1.5,0.0,0.5,6
109,it,adulta.,110,61,1,0.0,183.0,376.5,868.5,1.5,3.5,0.5,1.0,6
110,it,Dunque,111,72,1,0.0,204.0,332.5,414.5,1.5,2.0,0.5,0.5,7
111,it,Giano,112,72,1,0.0,175.5,175.5,668.5,1.0,3.0,0.0,0.5,7
112,it,era,113,72,1,0.0,200.5,200.5,453.0,1.0,2.0,0.0,0.5,7
113,it,celebrato,114,72,1,0.0,176.5,176.5,749.5,1.0,4.0,0.0,0.5,7
114,it,all’inizio,115,72,1,0.0,194.0,492.0,492.0,2.5,2.5,1.0,0.0,7
115,it,del,116,72,1,0.5,62.5,62.5,62.5,0.5,0.5,0.0,0.0,7
116,it,raccolto,117,72,1,0.5,106.0,106.0,106.0,0.5,0.5,0.0,0.0,7
117,it,e,118,72,1,0.5,184.0,184.0,184.0,0.5,0.5,0.0,0.0,7
118,it,al,119,72,1,0.5,191.5,191.5,313.0,0.5,1.0,0.0,0.5,7
119,it,tempo,120,72,1,0.0,154.5,381.5,381.5,2.0,2.0,0.5,0.0,7
120,it,della,121,72,1,0.5,76.0,76.0,76.0,0.5,0.5,0.0,0.0,7
121,it,"semina,",122,72,1,0.0,179.0,179.0,479.5,1.0,2.0,0.0,0.5,7
122,it,così,123,72,1,0.0,205.5,205.5,205.5,1.0,1.0,0.0,0.0,7
123,it,come,124,72,1,0.0,141.0,141.0,341.0,1.0,2.0,0.0,0.5,7
124,it,in,125,72,1,0.0,109.0,140.5,140.5,1.5,1.5,0.5,0.0,7
125,it,occasione,126,72,1,0.0,234.5,755.5,933.5,3.0,4.5,0.5,0.5,7
126,it,di,127,72,1,0.5,41.0,41.0,41.0,0.5,0.5,0.0,0.0,7
127,it,"matrimoni,",128,72,1,0.0,266.5,266.5,554.0,1.0,2.0,0.0,1.0,7
128,it,"morti,",129,72,1,0.0,469.0,469.0,469.0,1.0,1.0,0.0,0.0,7
129,it,e,130,72,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7
130,it,altri,131,72,1,0.0,275.5,348.0,348.0,1.5,1.5,0.5,0.0,7
131,it,tipi,132,72,1,0.0,154.5,154.5,315.5,1.0,2.0,0.5,0.5,7
132,it,di,133,72,1,0.5,307.0,307.0,307.0,0.5,0.5,0.0,0.0,7
133,it,inizi.,134,72,1,0.0,163.5,527.5,1441.0,2.0,5.5,1.0,0.5,7
134,it,Giano,135,81,1,0.0,139.0,139.0,373.5,1.0,2.0,0.5,0.5,8
135,it,non,136,81,1,0.0,115.5,115.5,213.5,1.0,1.5,0.0,0.5,8
136,it,aveva,137,81,1,0.0,260.0,260.0,351.5,1.0,1.5,0.0,0.5,8
137,it,sacerdoti,138,81,1,0.0,166.5,187.5,589.0,1.5,3.0,0.5,0.5,8
138,it,specificatamente,139,81,1,0.0,211.5,404.0,585.5,2.0,3.0,1.0,0.5,8
139,it,assegnati,140,81,1,0.0,165.5,331.0,331.0,3.0,3.0,0.5,0.0,8
140,it,a,141,81,1,0.5,66.5,66.5,66.5,0.5,0.5,0.0,0.0,8
141,it,"sé,",142,81,1,0.5,71.5,71.5,71.5,0.5,0.5,0.0,0.0,8
142,it,ma,143,81,1,0.5,43.5,43.5,43.5,0.5,0.5,0.0,0.0,8
143,it,l’alto,144,81,1,0.0,359.0,359.0,650.0,1.0,2.5,0.5,0.5,8
144,it,sacerdote,145,81,1,0.0,255.0,255.0,255.0,1.0,1.0,0.0,0.0,8
145,it,stesso,146,81,1,0.0,488.0,560.0,697.5,1.5,2.0,0.0,0.5,8
146,it,presiedeva,147,81,1,0.0,198.5,198.5,545.5,1.0,3.0,0.5,0.5,8
147,it,le,148,81,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8
148,it,sue,149,81,1,0.0,96.0,96.0,96.0,1.0,1.0,0.0,0.0,8
149,it,cerimonie.,150,81,1,0.0,134.5,527.0,1485.5,3.0,7.0,1.0,0.5,8
150,it,Giano,151,88,1,0.0,261.0,261.0,443.0,1.0,2.0,0.0,0.5,9
151,it,rappresentava,152,88,1,0.0,402.0,672.5,1358.0,2.5,5.5,1.0,0.5,9
152,it,la,153,88,1,0.0,157.0,157.0,157.0,1.0,1.0,0.0,0.0,9
153,it,via,154,88,1,0.0,177.5,177.5,340.5,1.0,1.5,0.0,0.5,9
154,it,di,155,88,1,0.5,148.0,148.0,286.5,0.5,1.0,0.0,0.5,9
155,it,mezzo,156,88,1,0.0,215.5,215.5,240.5,1.0,1.5,0.0,0.5,9
156,it,tra,157,88,1,0.5,60.0,60.0,60.0,0.5,0.5,0.0,0.0,9
157,it,civiltà,158,88,1,0.0,207.0,446.0,670.5,1.5,3.0,0.5,0.5,9
158,it,e,159,88,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9
159,it,"barbarie,",160,88,1,0.0,373.5,454.0,1047.5,1.5,3.5,1.0,0.5,9
160,it,spazio,161,88,1,0.0,309.5,374.5,826.0,1.5,2.5,0.5,0.5,9
161,it,urbano,162,88,1,0.0,383.5,383.5,383.5,1.0,1.0,0.0,0.0,9
162,it,e,163,88,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9
163,it,"rurale,",164,88,1,0.0,206.0,206.0,572.5,1.0,2.0,0.0,0.5,9
164,it,giovinezza,165,88,1,0.0,346.0,346.0,888.5,1.0,3.5,1.0,1.0,9
165,it,e,166,88,1,0.5,86.0,86.0,143.5,0.5,1.0,0.0,0.5,9
166,it,età,167,88,1,0.5,102.0,102.0,102.0,0.5,0.5,0.0,0.0,9
167,it,adulta.,168,88,1,0.0,249.5,249.5,507.5,1.0,2.0,0.5,0.5,9
168,it,Gli,169,12,1,0.0,169.0,296.5,535.5,1.5,3.0,0.5,0.5,10
169,it,antichi,170,12,1,0.0,209.0,209.0,482.5,1.0,2.5,0.5,1.0,10
170,it,greci,171,12,1,0.0,154.0,154.0,333.5,1.0,2.0,0.0,1.0,10
171,it,non,172,12,1,0.5,97.5,126.0,126.0,1.0,1.0,0.5,0.0,10
172,it,avevano,173,12,1,0.0,299.0,394.5,474.0,1.5,2.0,0.5,0.5,10
173,it,un,174,12,1,0.5,60.0,60.0,60.0,0.5,0.5,0.0,0.0,10
174,it,equivalente,175,12,1,0.0,248.5,331.5,508.0,1.5,2.5,1.0,0.5,10
175,it,di,176,12,1,0.5,87.5,87.5,167.0,0.5,1.0,0.0,0.5,10
176,it,"Giano,",177,12,1,0.0,271.5,271.5,647.0,1.0,2.0,0.0,1.0,10
177,it,che,178,12,1,0.0,265.5,372.0,1169.0,1.5,5.0,0.5,1.0,10
178,it,i,179,12,1,0.5,69.5,69.5,69.5,0.5,0.5,0.0,0.0,10
179,it,Romani,180,12,1,0.0,180.5,180.5,180.5,1.0,1.0,0.0,0.0,10
180,it,sostenevano,181,12,1,0.0,247.0,318.5,705.0,1.5,3.0,1.0,1.0,10
181,it,appartenere,182,12,1,0.0,196.0,330.0,1007.5,1.5,5.0,1.0,1.0,10
182,it,distintamente,183,12,1,0.0,211.5,418.0,940.5,2.5,5.0,1.0,1.0,10
