,lang,ia,ianum,sentnum,trialid,prob_skip,firstfix.dur,firstrun.dur,dur,firstrun.nfix,nfix,prob_refix,prob_reread,trial_sentnum
0,sp,En,1,0,1,0.34210526315789475,95.84210526315789,98.84210526315789,128.97368421052633,0.6842105263157895,0.8157894736842105,0.02631578947368421,0.07894736842105263,1
1,sp,las,2,0,1,0.10526315789473684,183.6315789473684,204.89473684210526,359.0263157894737,1.0,1.9473684210526316,0.23684210526315788,0.34210526315789475,1
2,sp,antiguas,3,0,1,0.02631578947368421,173.89473684210526,217.3684210526316,1115.3157894736842,1.236842105263158,5.5,0.5263157894736842,0.868421052631579,1
3,sp,mitología,4,0,1,0.02631578947368421,200.23684210526315,312.3157894736842,1074.921052631579,1.5263157894736843,5.052631578947368,0.6842105263157895,0.868421052631579,1
4,sp,y,5,0,1,0.5789473684210527,84.26315789473684,84.26315789473684,98.47368421052632,0.42105263157894735,0.5263157894736842,0.0,0.05263157894736842,1
5,sp,religión,6,0,1,0.07894736842105263,215.97368421052633,292.7894736842105,793.9736842105264,1.394736842105263,3.6842105263157894,0.631578947368421,0.7894736842105263,1
6,sp,"romana,",7,0,1,0.05263157894736842,223.92105263157896,308.0263157894737,577.2894736842105,1.263157894736842,2.5526315789473686,0.2631578947368421,0.5526315789473685,1
7,sp,Jano,8,0,1,0.13157894736842105,215.6578947368421,243.78947368421052,333.0263157894737,1.0263157894736843,1.5263157894736843,0.18421052631578946,0.34210526315789475,1
8,sp,es,9,0,1,0.2894736842105263,154.02631578947367,162.39473684210526,254.07894736842104,0.7631578947368421,1.1842105263157894,0.07894736842105263,0.2631578947368421,1
9,sp,el,10,0,1,0.2631578947368421,150.52631578947367,177.52631578947367,267.7631578947368,0.8421052631578947,1.2105263157894737,0.07894736842105263,0.3157894736842105,1
10,sp,dios,11,0,1,0.3157894736842105,129.42105263157896,150.44736842105263,265.1842105263158,0.8421052631578947,1.4210526315789473,0.18421052631578946,0.34210526315789475,1
11,sp,de,12,0,1,0.6578947368421053,59.26315789473684,59.26315789473684,70.89473684210526,0.34210526315789475,0.42105263157894735,0.0,0.07894736842105263,1
12,sp,los,13,0,1,0.34210526315789475,143.10526315789474,153.42105263157896,198.97368421052633,0.7105263157894737,0.9473684210526315,0.02631578947368421,0.18421052631578946,1
13,sp,comienzos,14,0,1,0.05263157894736842,200.78947368421052,266.7368421052632,593.078947368421,1.368421052631579,2.8421052631578947,0.4473684210526316,0.6578947368421053,1
14,sp,y,15,0,1,0.7894736842105263,31.57894736842105,36.28947368421053,36.28947368421053,0.23684210526315788,0.23684210526315788,0.02631578947368421,0.0,1
15,sp,las,16,0,1,0.2631578947368421,136.73684210526315,146.76315789473685,219.97368421052633,0.8157894736842105,1.131578947368421,0.05263157894736842,0.23684210526315788,1
16,sp,"puertas,",17,0,1,0.07894736842105263,205.31578947368422,388.2894736842105,717.2894736842105,1.763157894736842,3.1578947368421053,0.5526315789473685,0.5789473684210527,1
17,sp,Él,18,0,1,0.6052631578947368,86.86842105263158,96.13157894736842,119.57894736842105,0.4473684210526316,0.5526315789473685,0.05263157894736842,0.10526315789473684,1
18,sp,tiene,19,0,1,0.07894736842105263,208.5,265.2631578947368,446.7105263157895,1.263157894736842,2.236842105263158,0.39473684210526316,0.47368421052631576,1
19,sp,una,20,0,1,0.23684210526315788,204.73684210526315,207.81578947368422,299.7368421052632,0.7894736842105263,1.2894736842105263,0.05263157894736842,0.3157894736842105,1
20,sp,doble,21,0,1,0.23684210526315788,165.31578947368422,221.31578947368422,364.1578947368421,1.0526315789473684,1.763157894736842,0.3157894736842105,0.34210526315789475,1
21,sp,"naturaleza,",22,0,1,0.0,184.57894736842104,419.2105263157895,639.9473684210526,2.0,3.0789473684210527,0.7631578947368421,0.47368421052631576,1
22,sp,y,23,0,1,0.6578947368421053,41.5,45.94736842105263,49.28947368421053,0.39473684210526316,0.4473684210526316,0.05263157894736842,0.02631578947368421,1
23,sp,generalmente,24,0,1,0.0,227.8421052631579,363.55263157894734,688.078947368421,1.6578947368421053,3.3157894736842106,0.6578947368421053,0.631578947368421,1
24,sp,se,25,0,1,0.631578947368421,78.94736842105263,78.94736842105263,88.21052631578948,0.3684210526315789,0.42105263157894735,0.0,0.05263157894736842,1
25,sp,lo,26,0,1,0.4473684210526316,128.31578947368422,135.8684210526316,191.71052631578948,0.6052631578947368,0.8157894736842105,0.05263157894736842,0.13157894736842105,1
26,sp,representa,27,0,1,0.02631578947368421,201.52631578947367,321.94736842105266,643.3947368421053,1.631578947368421,3.289473684210526,0.6578947368421053,0.6052631578947368,1
27,sp,con,28,0,1,0.47368421052631576,101.76315789473684,117.23684210526316,123.28947368421052,0.6052631578947368,0.631578947368421,0.07894736842105263,0.02631578947368421,1
28,sp,dos,29,0,1,0.15789473684210525,203.3684210526316,227.94736842105263,328.6578947368421,0.9736842105263158,1.4210526315789473,0.15789473684210525,0.34210526315789475,1
29,sp,"caras,",30,0,1,0.10526315789473684,203.39473684210526,238.21052631578948,390.7368421052632,1.0526315789473684,1.763157894736842,0.18421052631578946,0.39473684210526316,1
30,sp,ya,31,0,1,0.6842105263157895,94.73684210526316,94.73684210526316,104.3157894736842,0.3157894736842105,0.3684210526315789,0.0,0.02631578947368421,1
31,sp,que,32,0,1,0.2631578947368421,170.73684210526315,185.0,239.52631578947367,0.8421052631578947,1.105263157894737,0.10526315789473684,0.18421052631578946,1
32,sp,él,33,0,1,0.23684210526315788,158.57894736842104,168.78947368421052,212.07894736842104,0.8157894736842105,1.0526315789473684,0.05263157894736842,0.18421052631578946,1
33,sp,mira,34,0,1,0.05263157894736842,206.07894736842104,228.89473684210526,344.60526315789474,1.105263157894737,1.5526315789473684,0.15789473684210525,0.3684210526315789,1
34,sp,hacia,35,0,1,0.13157894736842105,172.3421052631579,191.42105263157896,255.07894736842104,1.0,1.3421052631578947,0.15789473684210525,0.2631578947368421,1
35,sp,el,36,0,1,0.5526315789473685,90.23684210526316,90.23684210526316,100.21052631578948,0.4473684210526316,0.5,0.0,0.05263157894736842,1
36,sp,futuro,37,0,1,0.15789473684210525,178.21052631578948,211.6315789473684,293.42105263157896,1.0263157894736843,1.394736842105263,0.15789473684210525,0.3157894736842105,1
37,sp,y,38,0,1,0.7894736842105263,48.76315789473684,48.76315789473684,53.23684210526316,0.21052631578947367,0.23684210526315788,0.0,0.02631578947368421,1
38,sp,hacia,39,0,1,0.10526315789473684,194.05263157894737,218.89473684210526,304.7894736842105,1.0,1.368421052631579,0.10526315789473684,0.3157894736842105,1
